Qual as despesas com ações típicas de MDE por área de atuação? (total com o Fundeb),2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Educação Infantil,"0,00","0,01","0,00","0,00","10.000.000,00","8.920.316,87","25.000.000,00","0,00","3.000.000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Creche,,,,,,,,"0,00","1.500.000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Pré-escola,,,,,,,,"0,00","1.500.000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Ensino Fundamental,"220.520.749,69","463.386.586,09","319.604.642,34","325.178.871,03","543.581.309,90","241.796.152,41","235.605.301,14","247.791.372,06","87.639.614,10","88.992.120,58","160.684.204,85","244.660.267,98","208.189.335,49","240.385.591,14","187.129.681,55","469.710.653,66","519.663.252,93","608.718.624,51"
Ensino Médio,"11.454.476,92","8.579.729,36","238.250.404,45","363.644.188,65","196.295.830,61","609.885.440,58","642.851.482,38","482.254.386,98","942.559.682,26","1.016.144.762,54","941.002.409,53","1.031.772.559,46","1.372.624.916,49","1.099.901.663,53","933.298.504,04","1.275.679.962,80","1.352.177.085,72","3.028.018.197,47"
Ensino Superior,"75.517,29","546.175,06","512.476,19","406.010,63","2.127.590,87","3.860.945,02","5.541.439,18","241.425.290,18","9.261.056,47","14.353.488,48","43.054.011,00","12.449.191,38","15.678.852,35","200.423.849,89","202.914.112,95","212.584.915,79","284.218.614,29","178.305.394,18"
Educação Especial,"0,00",,,,,,,,,,,,,,,,,"0,00"
Educação de Jovens e Adultos,"540.434,29",,,,,,,,,,,,,,,,,"199.760.071,49"
Ensino Profissional não integrado ao profissional,"26.789,00","153.592,99","373.362,40","2.911.914,96","10.000.000,00","21.039.643,92","18.339.543,35","13.439.105,96","24.962.224,91","54.006.875,00","27.645.550,27","955.500,23","42.063.127,90","19.041.885,29","11.102.528,78","41.834.308,93","44.422.795,87","286.564.532,00"
Administração Geral,,,,,,,,,,,,,,,,,,"119.922.864,84"
Transporte Escolar,,,,,,,,,,,,,,,,,,"0,00"
Outras ,"99.154.570,65","73.758,26","112.856,00","5.040.656,46","10.004.230,60","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",,,"0,00"
TOTAL,"331.772.537,84","472.739.841,77","558.853.741,38","697.181.661,73","772.008.961,98","885.502.498,80","927.337.766,05","984.910.155,18","1.067.422.577,74","1.173.497.246,60","1.172.386.175,65","1.289.837.539,05","1.638.556.232,23","1.559.752.989,85","1.334.444.827,32","1.999.809.841,18","2.200.481.748,81","4.421.289.684,49"